Division;Ponderacion;Glosa;Indice;Variación Mensual;Variación Acumulada;Variacion a 12 meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 meses
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.10614;LIMPIADOR MULTIUSO;116.36;1.5;6;6;0.002;0.006;0.006
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.0806;QUITAMANCHAS Y SUAVIZANTE;113.86;1.6;2.6;2.6;0.001;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08199;ARTICULOS PARA LIMPIEZA DE PISO;113.71;2.1;3.9;3.9;0.002;0.003;0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03373;FOSFOROS;118.07;2.4;3.5;3.5;0.001;0.001;0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05768;ARTICULOS PARA LIMPIEZA DE BAÑO Y COCINA;97.27;0.1;-3.3;-3.3;0;-0.002;-0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.10279;SERVILLETAS  Y TOALLA DE PAPEL;111.21;-1;1;1;-0.001;0.001;0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;2.25632;SERVICIO DOMESTICO;119.21;0.4;5.3;5.3;0.01;0.125;0.125
SALUD;0.24836;ANALGESICO Y ANTIINFLAMATORIO NO ESTEROIDEO;105.08;-1.1;-2.5;-2.5;-0.003;-0.006;-0.006
SALUD;0.0532;ANTIACIDO Y ANTIULCEROSO;111.89;0.1;4.5;4.5;0;0.002;0.002
SALUD;0.07136;ANTIALERGICO;126.5;0;2.9;2.9;0;0.002;0.002
SALUD;0.13793;ANTIBIOTICO;119.84;0;2.7;2.7;0;0.004;0.004
SALUD;0.17573;ANTICONCEPTIVO ORAL Y HORMONAS FEMENINAS;143.53;0;8.3;8.3;0;0.018;0.018
SALUD;0.06164;ANTICONVULSIVO Y ANTIEPILEPTICO;112.37;-0.8;4;4;0;0.002;0.002
SALUD;0.03818;ANTIDIABETICO;120.08;0;-2.2;-2.2;0;-0.001;-0.001
SALUD;0.03785;ANTIESPASMODICO Y ANTIDISMINORREICO;146.74;-29.1;14.6;14.6;-0.021;0.007;0.007
SALUD;0.05718;ANTIFUNGICO;102.3;0.5;12;12;0;0.006;0.006
SALUD;0.06154;ANTIGRIPAL;125.17;16.3;26.7;26.7;0.01;0.015;0.015
SALUD;0.10875;ANTIHIPERTENSOR;126.82;0;2.9;2.9;0;0.004;0.004
SALUD;0.03224;ANTISEPTICO Y DESINFECTANTE;97.27;-4.4;-2.4;-2.4;-0.001;-0.001;-0.001
SALUD;0.04074;DERMATOLOGICO;90.32;5.2;8.1;8.1;0.002;0.003;0.003
SALUD;0.1788;HIPNOTICO. ANTIDEPRESIVO Y ANSIOLITICO;112.87;0;0.2;0.2;0;0;0
SALUD;0.05075;HIPOLIPIDEMIANTE;145.15;0;8.8;8.8;0;0.005;0.005
SALUD;0.04596;INHIBIDOR DEL APETITO Y MEDICAMENTO ANTIOBESIDAD;93.41;0;0.4;0.4;0;0;0
SALUD;0.04925;MEDICAMENTO HOMEOPATICO Y PRODUCTO NATURISTA;121.61;0;3.6;3.6;0;0.002;0.002
SALUD;0.04556;MEDICAMENTO PARA LA DISFUNCION ERECTIL;106.97;0;27;27;0;0.01;0.01
SALUD;0.12007;MUCOLITICO Y BRONCODILATADOR;123.93;0.8;11.9;11.9;0.001;0.015;0.015
SALUD;0.06265;PREPARADO OFTALMOLOGICO;117.46;-10.6;5.2;5.2;-0.008;0.003;0.003
SALUD;0.11201;VITAMINAS Y MINERALES;104.73;6.2;4.4;4.4;0.006;0.005;0.005
SALUD;0.02238;PARCHES. APOSITOS Y VENDAS;121.21;0;4.7;4.7;0;0.001;0.001
SALUD;0.0205;PRESERVATIVOS;104.6;0;-3.6;-3.6;0;-0.001;-0.001
SALUD;0.45228;LENTES DE CORRECCION;95.07;0.7;-1.6;-1.6;0.003;-0.007;-0.007
SALUD;0.04136;EQUIPOS PARA MEDIR PARAMETROS DE SALUD;110.36;4.5;6.9;6.9;0.002;0.003;0.003
SALUD;0.73299;CONSULTA MEDICA;112.48;0;4;4;0;0.029;0.029
SALUD;0.06532;PROCEDIMIENTO E INTERVENCION QUIRURGICA  AMBULATORIA;108.32;0;5.2;5.2;0;0.003;0.003
SALUD;0.42258;CONSULTA ODONTOLOGICA;116.62;0;1.4;1.4;0;0.006;0.006
SALUD;0.24545;TRATAMIENTO ODONTOLOGICO;121.46;0;6.2;6.2;0;0.016;0.016
SALUD;0.25643;EXAMEN DE  IMAGENOLOGIA Y RADIOLOGIA;112.6;0;2.2;2.2;0;0.006;0.006
SALUD;0.18377;EXAMEN DE LABORATORIO CLINICO;110.72;0;2.3;2.3;0;0.004;0.004
SALUD;0.17557;SERVICIO DE OTROS PROFESIONALES DE LA SALUD;112.05;0;4.9;4.9;0;0.008;0.008
SALUD;0.02909;SERVICIO MOVIL DE EMERGENCIA;122.72;0;3.6;3.6;0;0.001;0.001
SALUD;0.56478;SERVICIO DE HOSPITALIZACION INTEGRAL;116.97;0;4.3;4.3;0;0.025;0.025
SALUD;0.37329;INTERVENCION QUIRURGICA Y PROCEDIMIENTO MEDICO QUE REQUIERE HOSPITALIZACION;111.04;0;3.6;3.6;0;0.013;0.013
TRANSPORTE;5.87231;AUTOMOVIL NUEVO;96.06;0.1;1;1;0.007;0.053;0.053
TRANSPORTE;2.82519;AUTOMOVIL USADO;78.09;-0.7;-8.8;-8.8;-0.015;-0.196;-0.196
TRANSPORTE;0.10987;MOTOCICLETA;102.53;0.1;0.7;0.7;0;0.001;0.001
TRANSPORTE;0.06169;BICICLETA;88.84;-1.2;0.7;0.7;-0.001;0;0
TRANSPORTE;0.09893;REPUESTOS PARA EL FUNCIONAMIENTO ELECTRICO DEL AUTOMOVIL;87.86;-1.8;-1.2;-1.2;-0.001;-0.001;-0.001
TRANSPORTE;0.04859;NEUMATICOS Y LLANTAS;109.72;0.6;-7.9;-7.9;0;-0.004;-0.004
TRANSPORTE;0.06889;ACCESORIOS PARA LA SEGURIDAD Y CUIDADO DEL AUTOMOVIL;98.31;-5;-11.5;-11.5;-0.003;-0.008;-0.008
TRANSPORTE;3.22798;GASOLINA;151.38;5;7.4;7.4;0.21;0.311;0.311
TRANSPORTE;0.20451;PETROLEO DIESEL;150.1;4.5;6.6;6.6;0.012;0.018;0.018
TRANSPORTE;0.07735;LUBRICANTES Y ACEITES PARA EL AUTOMOVIL;116.41;0.7;0.8;0.8;0.001;0.001;0.001
TRANSPORTE;0.26685;SERVICIO DE MANTENCION DEL AUTOMOVIL NUEVO;130.92;0.4;4.2;4.2;0.001;0.013;0.013
TRANSPORTE;0.03657;SERVICIO DE LAVADO DEL AUTOMOVIL;136.96;0.5;6.9;6.9;0;0.003;0.003
TRANSPORTE;0.2827;SERVICIO DE REPARACION DEL AUTOMOVIL;107.06;-0.9;2.9;2.9;-0.003;0.008;0.008
TRANSPORTE;0.14462;SERVICIO DE ARRIENDO DE ESTACIONAMIENTO;128.71;0.3;7.6;7.6;0;0.012;0.012
TRANSPORTE;0.26146;SERVICIO DE PEAJE Y TELEPEAJE;109.9;0.3;4;4;0.001;0.01;0.01
TRANSPORTE;0.03263;LICENCIA DE CONDUCIR;120.99;0.2;3.3;3.3;0;0.001;0.001
TRANSPORTE;0.04353;REVISION TECNICA DEL AUTOMOVIL;116.81;0.2;6.9;6.9;0;0.003;0.003
TRANSPORTE;0.02237;SERVICIO DE TRANSPORTE EN TREN INTERURBANO;99.31;16.8;17.9;17.9;0.003;0.003;0.003
TRANSPORTE;0.0187;SERVICIO DE TRANSPORTE EN METRO;97.15;0;5.9;5.9;0;0.001;0.001
TRANSPORTE;0.84604;SERVICIO DE TRANSPORTE EN TAXI COLECTIVO;124.5;0.3;6;6;0.003;0.055;0.055
TRANSPORTE;0.38158;SERVICIO DE TRANSPORTE EN TAXI BASICO;124.24;0.8;4.6;4.6;0.003;0.019;0.019
TRANSPORTE;0.19715;SERVICIO DE TRANSPORTE ESCOLAR;131.57;0;7.9;7.9;0;0.018;0.018
TRANSPORTE;0.93605;SERVICIO DE TRANSPORTE EN MICROBUS;112.59;-0.5;6.7;6.7;-0.005;0.061;0.061
TRANSPORTE;0.75679;SERVICIO DE TRANSPORTE EN BUS INTERURBANO;152.46;16.4;7.6;7.6;0.146;0.075;0.075
TRANSPORTE;0.49248;SERVICIO DE TRANSPORTE AEREO;102.4;5.1;-9.7;-9.7;0.022;-0.05;-0.05
TRANSPORTE;1.97257;SERVICIO DE TRANSPORTE MULTIMODAL;153.54;1.7;1.7;1.7;0.044;0.045;0.045
COMUNICACIONES;0.02861;SERVICIO DE CORREO;100;0;0;0;0;0;0
COMUNICACIONES;0.39722;EQUIPO DE TELEFONIA MOVIL;19.76;-4.7;-23.4;-23.4;-0.004;-0.022;-0.022
COMUNICACIONES;0.05091;SERVICIO DE CONEXION INTERNET;84.68;0;0.9;0.9;0;0;0
COMUNICACIONES;1.237;SERVICIO DE PACK DE TELECOMUNICACIONES;97.68;0;1.1;1.1;0;0.012;0.012
COMUNICACIONES;2.09136;SERVICIO DE TELEFONIA MOVIL;97.29;0;0.5;0.5;0;0.01;0.01
COMUNICACIONES;0.81617;SERVICIO DE TELEFONIA FIJA;101.14;0;-0.5;-0.5;0;-0.004;-0.004
COMUNICACIONES;0.06262;SERVICIO PUBLICO DE COMUNICACIONES;97.85;0;-1.7;-1.7;0;-0.001;-0.001
COMUNICACIONES;0.05338;SERVICIO PUBLICO DE INTERNET;103.33;0.1;2.1;2.1;0;0.001;0.001
RECREACIÓN Y CULTURA;0.66074;TELEVISOR;43.38;-3.3;-9.7;-9.7;-0.009;-0.028;-0.028
RECREACIÓN Y CULTURA;0.1502;REPRODUCTOR MULTIMEDIA;66.96;0.8;-5.1;-5.1;0.001;-0.005;-0.005
RECREACIÓN Y CULTURA;0.20128;EQUIPO DE SONIDO;68.59;-1.4;-4.3;-4.3;-0.002;-0.006;-0.006
RECREACIÓN Y CULTURA;0.17702;REPRODUCTOR PORTATIL DE AUDIO Y VIDEO;50.33;-2.2;1.4;1.4;-0.002;0.001;0.001
RECREACIÓN Y CULTURA;0.04747;CAMARA DE VIDEO;34.36;-2.8;-23.9;-23.9;0;-0.005;-0.005
RECREACIÓN Y CULTURA;0.18093;CAMARA FOTOGRAFICA;19.37;-2.6;-24.5;-24.5;-0.001;-0.01;-0.01
RECREACIÓN Y CULTURA;1.34006;COMPUTADOR;48.83;-1.1;-13.7;-13.7;-0.006;-0.095;-0.095
RECREACIÓN Y CULTURA;0.05134;IMPRESORA;57.4;0.2;-9.9;-9.9;0;-0.003;-0.003
RECREACIÓN Y CULTURA;0.08;ACCESORIOS COMPUTACIONALES;76.94;-1.9;-5.7;-5.7;-0.001;-0.003;-0.003
RECREACIÓN Y CULTURA;0.13393;MUSICA Y PELICULA DIGITAL;92.64;0.3;-2.2;-2.2;0;-0.003;-0.003
RECREACIÓN Y CULTURA;0.0814;UNIDAD DE RESPALDO MAGNETICO;50.73;-0.9;-9.5;-9.5;0;-0.004;-0.004
RECREACIÓN Y CULTURA;0.08215;AUTO DE JUGUETE;88.24;-1.7;-9.9;-9.9;-0.001;-0.007;-0.007
RECREACIÓN Y CULTURA;0.07832;FIGURA DE ACCION;71.13;-1.6;-9.7;-9.7;-0.001;-0.006;-0.006
RECREACIÓN Y CULTURA;0.02562;JUEGOS DE SALON;81.99;-0.7;-1.9;-1.9;0;0;0
RECREACIÓN Y CULTURA;0.03907;JUEGOS DIDACTICO;80.47;0;-0.3;-0.3;0;0;0
RECREACIÓN Y CULTURA;0.07909;CONSOLA DE VIDEOJUEGO;46.16;-2.4;-8.7;-8.7;-0.001;-0.003;-0.003
RECREACIÓN Y CULTURA;0.08703;MUÑECAS  Y MUÑECOS;77.04;0.5;-8;-8;0;-0.005;-0.005
RECREACIÓN Y CULTURA;0.03063;RODADOS PARA NIÑO Y NIÑA;98.22;-1;-4.3;-4.3;0;-0.001;-0.001
RECREACIÓN Y CULTURA;0.08818;IMPLEMENTOS DEPORTIVOS;78.14;0;-5.6;-5.6;0;-0.004;-0.004
RECREACIÓN Y CULTURA;0.05154;ARTICULOS DE CAMPING;79.35;1.8;-3.6;-3.6;0.001;-0.001;-0.001
RECREACIÓN Y CULTURA;0.03958;INSTRUMENTOS MUSICALES;99.93;-4.3;-4.8;-4.8;-0.002;-0.002;-0.002
RECREACIÓN Y CULTURA;0.02845;MAQUINAS PARA EJERCICIOS;85.67;0.4;-1.6;-1.6;0;0;0
RECREACIÓN Y CULTURA;0.10995;FLORES;133.75;-1.4;9.1;9.1;-0.002;0.011;0.011
RECREACIÓN Y CULTURA;0.06014;PLANTAS;110.57;0.6;7.6;7.6;0;0.004;0.004
RECREACIÓN Y CULTURA;0.41876;ALIMENTOS PARA MASCOTAS;107.2;0.4;4.5;4.5;0.002;0.018;0.018
RECREACIÓN Y CULTURA;0.04001;ACCESORIOS PARA MASCOTAS;106.6;-0.6;3.7;3.7;0;0.001;0.001
RECREACIÓN Y CULTURA;0.08752;SERVICIO VETERINARIO;126.12;0.7;5.6;5.6;0.001;0.005;0.005
RECREACIÓN Y CULTURA;0.39223;SERVICIOS PRESTADOS POR CENTROS RECREATIVOS;123.81;0.8;4.4;4.4;0.004;0.019;0.019
RECREACIÓN Y CULTURA;0.03055;ENTRADA AL ESTADIO;107.25;-0.3;4.2;4.2;0;0.001;0.001
RECREACIÓN Y CULTURA;0.13161;ENTRADA A DISCOTECA;118.6;2;3.7;3.7;0.003;0.005;0.005
RECREACIÓN Y CULTURA;0.06729;SERVICIO DE FIESTAS DE CUMPLEAÑOS;119.71;-1.4;4.4;4.4;-0.001;0.003;0.003
RECREACIÓN Y CULTURA;0.02734;CLASES DEPORTIVAS;126.52;0.4;4.8;4.8;0;0.001;0.001
RECREACIÓN Y CULTURA;0.08281;CLASES RECREATIVAS;117.82;0.2;2.4;2.4;0;0.002;0.002
RECREACIÓN Y CULTURA;0.09486;ENTRADA AL CINE;124.14;4.2;6.6;6.6;0.004;0.007;0.007
RECREACIÓN Y CULTURA;0.082;ENTRADA AL TEATRO;117.12;-4.5;-18.5;-18.5;-0.004;-0.02;-0.02
RECREACIÓN Y CULTURA;0.05802;SERVICIO DE FOTOGRAFIA DIGITAL;107.02;0.8;6.1;6.1;0;0.003;0.003
RECREACIÓN Y CULTURA;0.19452;SERVICIO DE TELEVISION PAGADA RESIDENCIAL;103.45;0;-0.5;-0.5;0;-0.001;-0.001
RECREACIÓN Y CULTURA;0.12607;JUEGOS DE AZAR;109.54;0;0;0;0;0;0
RECREACIÓN Y CULTURA;0.11619;TEXTOS ESCOLARES;130.42;0;6.3;6.3;0;0.008;0.008
RECREACIÓN Y CULTURA;0.03115;TEXTOS ESCOLARES COMPLEMENTARIOS;112.7;0;5.7;5.7;0;0.002;0.002
RECREACIÓN Y CULTURA;0.13139;LIBROS;102.9;0.1;1.1;1.1;0;0.001;0.001
RECREACIÓN Y CULTURA;0.11471;DIARIOS;105.31;0;0;0;0;0;0
RECREACIÓN Y CULTURA;0.02174;REVISTAS Y PERIODICOS;111.59;0.1;7.5;7.5;0;0.002;0.002
RECREACIÓN Y CULTURA;0.10983;CUADERNOS;96.95;-0.6;-0.9;-0.9;-0.001;-0.001;-0.001
RECREACIÓN Y CULTURA;0.06799;LAPICES;109.74;0.5;2.1;2.1;0;0.001;0.001
RECREACIÓN Y CULTURA;0.12464;MATERIALES PARA ARTES MANUALES;118.46;0.5;5.1;5.1;0.001;0.007;0.007
RECREACIÓN Y CULTURA;0.07918;ARTICULOS DE ESCRITORIO;104.75;0.5;0.9;0.9;0;0.001;0.001
RECREACIÓN Y CULTURA;0.91702;PAQUETES TURISTICOS;120.34;6.8;9.1;9.1;0.063;0.085;0.085
EDUCACIÓN;0.01965;SERVICIO DE EDUCACION DE JARDIN INFANTIL;135.84;4.1;8.3;8.3;0.001;0.002;0.002
EDUCACIÓN;0.32504;SERVICIO DE EDUCACION DE KINDER;129.77;1.8;6.6;6.6;0.007;0.024;0.024
EDUCACIÓN;0.73423;SERVICIO DE EDUCACION DE 1° CICLO DE LA ENSEÑANZA BASICA (1° A 4° BASICO);129.02;1.7;6.4;6.4;0.014;0.053;0.053
EDUCACIÓN;0.74309;SERVICIO DE EDUCACION DE 2° CICLO DE LA ENSEÑANZA BASICA (5° A 8° BASICO);128.91;1.6;6.4;6.4;0.013;0.053;0.053
EDUCACIÓN;0.87738;SERVICIO DE EDUCACION DE LA ENSEÑANZA MEDIA (1° A 4° MEDIO);127.49;1.4;5.8;5.8;0.014;0.056;0.056
EDUCACIÓN;0.06237;SERVICIO DE PRE UNIVERSITARIO;132.1;0.1;10.6;10.6;0;0.007;0.007
EDUCACIÓN;0.19706;SERVICIO DE ENSEÑANZA EN CENTROS DE FORMACION TECNICA;122.1;0.3;4.3;4.3;0.001;0.009;0.009
EDUCACIÓN;0.35492;SERVICIO DE ENSEÑANZA EN INSTITUTO PROFESIONAL;112.73;0;3.7;3.7;0;0.013;0.013
EDUCACIÓN;2.5579;SERVICIO DE ENSEÑANZA UNIVERSITARIA;116.95;0.2;4.7;4.7;0.005;0.123;0.123
EDUCACIÓN;0.1511;CURSOS DE CAPACITACION;122.71;0.7;2.4;2.4;0.001;0.004;0.004
RESTAURANTES Y HOTELES;0.10996;DESAYUNO CONSUMIDO FUERA DEL HOGAR;126.56;0.8;4.5;4.5;0.001;0.006;0.006
RESTAURANTES Y HOTELES;2.66152;ALMUERZO CONSUMIDO FUERA DEL HOGAR;133.66;0.9;7.7;7.7;0.027;0.235;0.235
RESTAURANTES Y HOTELES;0.11539;ONCE CONSUMIDA FUERA DEL HOGAR;133;1;7.5;7.5;0.001;0.01;0.01
RESTAURANTES Y HOTELES;0.21947;SANDWICH Y COMPLETO CONSUMIDO FUERA DEL HOGAR;131.03;1.1;7.1;7.1;0.003;0.018;0.018
RESTAURANTES Y HOTELES;0.15865;BEBIDA ALCOHOLICA CONSUMIDA FUERA DEL HOGAR;120.22;0.3;4.5;4.5;0.001;0.008;0.008
RESTAURANTES Y HOTELES;0.04439;BEBIDA NO ALCOHOLICA CONSUMIDA FUERA DEL HOGAR;126.34;0.1;5.1;5.1;0;0.003;0.003
RESTAURANTES Y HOTELES;0.09242;CAFE CONSUMIDO FUERA DEL HOGAR;137.99;0.7;7.8;7.8;0.001;0.008;0.008
RESTAURANTES Y HOTELES;0.22258;EMPANADAS PARA LLEVAR;131.81;1.2;9;9;0.003;0.022;0.022
RESTAURANTES Y HOTELES;0.03963;PAPAS FRITAS PARA LLEVAR;127.58;2.5;6.2;6.2;0.001;0.003;0.003
RESTAURANTES Y HOTELES;0.39782;PLATOS PREPARADOS PARA LLEVAR;125.27;1.2;9;9;0.005;0.038;0.038
RESTAURANTES Y HOTELES;0.20412;POLLO ASADO PARA LLEVAR;112.61;0.1;2.1;2.1;0;0.004;0.004
RESTAURANTES Y HOTELES;0.02414;SERVICIO DE ALOJAMIENTO ESTUDIANTIL;119.23;0;4.4;4.4;0;0.001;0.001
RESTAURANTES Y HOTELES;0.13566;SERVICIO DE ALOJAMIENTO TURISTICO Y OTROS;122.82;0.4;6.4;6.4;0.001;0.009;0.009
BIENES Y SERVICIOS DIVERSOS;0.29386;SERVICIO DE PELUQUERIA;126.54;0.7;6;6;0.002;0.019;0.019
BIENES Y SERVICIOS DIVERSOS;0.13251;SERVICIO DE DEPILACION;138.52;-0.1;6.5;6.5;0;0.01;0.01
BIENES Y SERVICIOS DIVERSOS;0.02161;AFEITADORA Y DEPILADORA ELECTRICA;73.3;-0.7;-10.6;-10.6;0;-0.002;-0.002
BIENES Y SERVICIOS DIVERSOS;0.02648;ARTICULOS ELECTRICOS PARA EL CABELLO;68.59;-0.6;-4.6;-4.6;0;-0.001;-0.001
BIENES Y SERVICIOS DIVERSOS;0.0564;MAQUINA DE AFEITAR DESECHABLE;128.6;0.2;3.3;3.3;0;0.002;0.002
BIENES Y SERVICIOS DIVERSOS;0.02149;ARTICULOS DIVERSOS PARA EL CUIDADO PERSONAL;108.16;4.4;6.7;6.7;0.001;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.02335;ALGODON;117.47;0.4;2.4;2.4;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.16711;ARTICULOS DE HIGIENE BUCAL;108.67;1.9;6;6;0.003;0.009;0.009
BIENES Y SERVICIOS DIVERSOS;0.34654;PAPEL HIGIENICO;114.73;0.6;3.1;3.1;0.002;0.011;0.011
BIENES Y SERVICIOS DIVERSOS;0.09257;JABON;112.82;0.5;3.6;3.6;0.001;0.003;0.003
BIENES Y SERVICIOS DIVERSOS;0.30573;PAÑALES DESECHABLES;120.53;0.2;2.6;2.6;0.001;0.009;0.009
BIENES Y SERVICIOS DIVERSOS;0.09954;PROTECCION HIGIENICA FEMENINA;106.37;-1.4;1.1;1.1;-0.001;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.27398;SHAMPOO Y BALSAMO;112.33;1.1;2.5;2.5;0.003;0.007;0.007
BIENES Y SERVICIOS DIVERSOS;0.11221;BLOQUEADORES Y BRONCEADORES;88.75;-0.2;-3.8;-3.8;0;-0.004;-0.004
BIENES Y SERVICIOS DIVERSOS;0.03286;CERAS Y CREMAS DEPILATORIA;118.26;-1.5;4.1;4.1;-0.001;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.26881;COLONIAS Y PERFUMES;100.26;-0.3;-0.2;-0.2;-0.001;-0.001;-0.001
BIENES Y SERVICIOS DIVERSOS;0.21628;CREMAS PARA LA PIEL;102.85;-0.1;-2.6;-2.6;0;-0.006;-0.006
BIENES Y SERVICIOS DIVERSOS;0.16858;DESODORANTES Y ANTITRANSPIRANTES;111.82;0.4;7.7;7.7;0.001;0.012;0.012
BIENES Y SERVICIOS DIVERSOS;0.09995;ARTICULOS DE MAQUILLAJE;107.19;-0.5;1.4;1.4;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.07227;TINTURAS Y FIJADORES;116.09;2;5;5;0.001;0.004;0.004
BIENES Y SERVICIOS DIVERSOS;0.11995;JOYAS;179.64;0;0.3;0.3;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.04777;RELOJ  DE PULSERA;103.91;-0.4;1.4;1.4;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.1834;CARTERAS Y BOLSOS;69.17;-0.6;-6;-6;-0.001;-0.007;-0.007
BIENES Y SERVICIOS DIVERSOS;0.0647;ARTICULOS PARA EL TRANSPORTE DEL BEBE;82.07;-0.6;-4.7;-4.7;0;-0.002;-0.002
BIENES Y SERVICIOS DIVERSOS;0.04329;ACCESORIOS PERSONALES DIVERSOS;55.98;-0.7;-15.9;-15.9;0;-0.004;-0.004
BIENES Y SERVICIOS DIVERSOS;0.24574;SEGURO DE AUTOMOVIL;91.55;0.2;-11.8;-11.8;0;-0.028;-0.028
BIENES Y SERVICIOS DIVERSOS;1.85949;GASTOS FINANCIEROS;134.26;0.1;-6.7;-6.7;0.003;-0.164;-0.164
BIENES Y SERVICIOS DIVERSOS;0.08187;SERVICIO DE EMISION DE CERTIFICADO;101.6;0;0;0;0;0;0
BIENES Y SERVICIOS DIVERSOS;0.07626;SERVICIO DE FOTOCOPIADO;109.25;-0.2;1;1;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.03702;GASTO EN ASOCIACION PROFESIONAL;138.74;0;23.5;23.5;0;0.009;0.009
BIENES Y SERVICIOS DIVERSOS;0.04369;SERVICIO NOTARIAL;116.09;0.2;1.9;1.9;0;0.001;0.001
BIENES Y SERVICIOS DIVERSOS;0.08563;SERVICIO FUNERARIO;138.39;0.5;11.4;11.4;0.001;0.011;0.011
BIENES Y SERVICIOS DIVERSOS;0.08327;SERVICIO JURIDICO;111.64;0.1;0.6;0.6;0;0;0
